code,name,prefix
ATCM 3335,Internet Studio II,ATCM
ATCM 3336,Design Research Methods,ATCM
ATCM 3337,Interaction Design I,ATCM
ATCM 3338,Motion Graphics I,ATCM
ATCM 3340,Design II,ATCM
ATCM 3345,Audio Technologies,ATCM
ATCM 3346,Audio Productions Lab I,ATCM
ATCM 3350,Digital Video Production I,ATCM
ATCM 3355,Computer Modeling for Digital Fabrication,ATCM
ATCM 3356,Projection Mapping Lab,ATCM
ATCM 3357,Digital Fabrication Lab I,ATCM
ATCM 3365,Game Design I,ATCM
ATCM 3366,Game Studies I,ATCM
ATCM 3367,Level Design I,ATCM
ATCM 3368,Scripting for Games I,ATCM
ATCM 3369,Games and Narrative I,ATCM
ATCM 3370,Virtual Environments I,ATCM
ATCM 3371,User Experience Design for Games,ATCM
ATCM 3372,Sound Design for Games,ATCM
ATCM 3375,Game Systems Design,ATCM
ATCM 3380,Media Psychology,ATCM
ATCM 3381,Media and Communication Research Methods,ATCM
ATCM 3382,Communicating Research,ATCM
ATCM 3385,Social Networks,ATCM
ATCM 3388,Attitudes and Behaviors,ATCM
ATCM 3395,"Topics in Arts, Technology, and Emerging Communication",ATCM
ATCM 4304,World Building,ATCM
ATCM 4305,Computer Animation II,ATCM
ATCM 4306,Modeling and Texturing II,ATCM
ATCM 4307,Lighting and Composition II,ATCM
ATCM 4308,Rigging II,ATCM
ATCM 4309,Pre-Production Design II,ATCM
ATCM 4310,Motion Capture Animation,ATCM
ATCM 4311,Experimental Lab,ATCM
ATCM 4312,Digital Sculpting,ATCM
ATCM 4313,Visual Effects,ATCM
ATCM 4314,Character Effects,ATCM
ATCM 4315,Computer Animation III,ATCM
ATCM 4316,Animation Lab I,ATCM
ATCM 4317,Animation Lab II,ATCM
ATCM 4318,Motion Capture Lab,ATCM
ATCM 4319,Topics in Animation,ATCM
ATCM 4320,Political Economy of Digital Media,ATCM
ATCM 4322,"Disability, Technology, and Media",ATCM
ATCM 4323,"Feminism, Technology, and Media",ATCM
ATCM 4325,"Race, Technology, and Media",ATCM
ATCM 4326,Mediated Textuality,ATCM
ATCM 4327,Privacy and Surveillance,ATCM
ATCM 4330,Culture Jamming,ATCM
ATCM 4332,Critical Media Studies Lab I,ATCM
ATCM 4333,Critical Media Studies Lab II,ATCM
ATCM 4334,Topics in Critical Media Studies,ATCM
ATCM 4337,Interaction Design II,ATCM
ATCM 4338,Motion Graphics II,ATCM
